Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,Best Parameters
EM,0.9400413839564988,0.9597930872325418,0.9003087781208646,0.9290998065323772,0.98732073415462,Hiperparámetros No Aplicados en este modelo
KNN,0.9302180085663412,0.949481865284974,0.887604579480405,0.917501137915339,0.9763859104959102,"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}"
Logistic Regression,0.8764255810596218,0.8695602250545412,0.8409772348695169,0.8550299198374167,0.9277326964337445,"{'C': 0.1, 'penalty': 'l1', 'solver': 'saga'}"
Random Forest,0.9537077137770078,0.9573010617650416,0.9311493614658524,0.944044134204008,0.9909970240340512,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}"
SVM,0.8725,0.8700646087580761,0.8324175824175825,0.8508248508248508,0.922971112546308,{'C': 1}
Random Forest,0.9537077137770078,0.9573010617650417,0.9311493614658523,0.9440441342040081,0.9909970240340513,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}"
